Id,Label,FromId,ToId,Properties:affinity,Properties:ic50,Properties:ki,Properties:mechanism,Properties:evidence,Properties:assayType,Properties:species,Properties:confidence,Properties:source
DRUG_TARGET_00373,DrugTargets,DRUG_00086,TARGET_00015,8.499,2.118281,16.414747,inhibition,literature,biochemical,human,0.826,CHEMBL
DRUG_TARGET_00374,DrugTargets,DRUG_00377,TARGET_00059,0.199,68.753836,0.616941,inhibition,computational,cellular,human,0.686,CHEMBL
DRUG_TARGET_00375,DrugTargets,DRUG_00228,TARGET_00039,1.545,31.382372,46.35763,modulation,literature,tissue,human,0.649,CHEMBL
DRUG_TARGET_00376,DrugTargets,DRUG_00228,TARGET_00145,9.131,76.786534,46.329805,inhibition,experimental,cellular,human,0.801,CHEMBL
DRUG_TARGET_00377,DrugTargets,DRUG_00302,TARGET_00030,4.189,32.266534,31.013533,modulation,computational,tissue,human,0.676,CHEMBL
DRUG_TARGET_00378,DrugTargets,DRUG_00046,TARGET_00028,4.451,22.067932,44.02016,binding,literature,cellular,human,0.944,CHEMBL
DRUG_TARGET_00379,DrugTargets,DRUG_00395,TARGET_00135,5.125,99.559614,25.399494,binding,literature,cellular,human,0.811,CHEMBL
DRUG_TARGET_00380,DrugTargets,DRUG_00473,TARGET_00078,7.404,63.567256,10.050409,binding,computational,cellular,human,0.905,CHEMBL
DRUG_TARGET_00381,DrugTargets,DRUG_00343,TARGET_00164,2.035,98.274491,31.926811,activation,experimental,cellular,human,0.938,CHEMBL
DRUG_TARGET_00382,DrugTargets,DRUG_00500,TARGET_00040,8.545,91.8042,42.057831,modulation,literature,cellular,human,0.832,CHEMBL
DRUG_TARGET_00383,DrugTargets,DRUG_00299,TARGET_00135,9.229,70.58495,48.683127,binding,literature,cellular,human,0.927,CHEMBL
DRUG_TARGET_00384,DrugTargets,DRUG_00225,TARGET_00181,1.926,42.973686,30.434484,activation,literature,cellular,human,0.629,CHEMBL
DRUG_TARGET_00385,DrugTargets,DRUG_00350,TARGET_00065,9.59,89.756422,38.273495,inhibition,experimental,biochemical,human,0.913,CHEMBL
DRUG_TARGET_00386,DrugTargets,DRUG_00070,TARGET_00167,0.793,45.586957,40.475177,binding,literature,biochemical,human,0.863,CHEMBL
DRUG_TARGET_00387,DrugTargets,DRUG_00402,TARGET_00131,5.838,57.620884,29.102475,activation,experimental,cellular,human,0.602,CHEMBL
DRUG_TARGET_00388,DrugTargets,DRUG_00178,TARGET_00031,9.829,52.482366,31.669311,inhibition,literature,cellular,human,0.791,CHEMBL
DRUG_TARGET_00389,DrugTargets,DRUG_00228,TARGET_00172,6.984,92.994018,35.72476,modulation,literature,tissue,human,0.683,CHEMBL
DRUG_TARGET_00390,DrugTargets,DRUG_00484,TARGET_00135,7.654,69.615559,14.584582,binding,experimental,tissue,human,0.79,CHEMBL
DRUG_TARGET_00391,DrugTargets,DRUG_00399,TARGET_00189,1.258,34.69581,0.963214,binding,computational,biochemical,human,0.639,CHEMBL
DRUG_TARGET_00392,DrugTargets,DRUG_00429,TARGET_00192,8.694,17.148671,30.829142,modulation,literature,biochemical,human,0.777,CHEMBL
DRUG_TARGET_00393,DrugTargets,DRUG_00098,TARGET_00016,1.869,44.609725,38.385596,activation,computational,tissue,human,0.908,CHEMBL
DRUG_TARGET_00394,DrugTargets,DRUG_00326,TARGET_00011,9.712,98.715427,2.307096,modulation,experimental,biochemical,human,0.93,CHEMBL
DRUG_TARGET_00395,DrugTargets,DRUG_00311,TARGET_00002,7.248,71.130354,34.061786,binding,experimental,biochemical,human,0.668,CHEMBL
DRUG_TARGET_00396,DrugTargets,DRUG_00041,TARGET_00075,0.662,42.016122,42.660976,binding,experimental,biochemical,human,0.773,CHEMBL
DRUG_TARGET_00397,DrugTargets,DRUG_00143,TARGET_00125,5.709,24.997135,19.189946,binding,experimental,tissue,human,0.827,CHEMBL
DRUG_TARGET_00398,DrugTargets,DRUG_00432,TARGET_00017,0.731,80.463976,32.547486,inhibition,computational,cellular,human,0.62,CHEMBL
DRUG_TARGET_00399,DrugTargets,DRUG_00191,TARGET_00118,7.574,60.72306,19.085224,inhibition,literature,biochemical,human,0.821,CHEMBL
DRUG_TARGET_00400,DrugTargets,DRUG_00310,TARGET_00023,9.936,51.852751,44.350948,activation,computational,biochemical,human,0.824,CHEMBL
