Id,Label,FromId,ToId,Properties:tanimoto,Properties:dice,Properties:cosine,Properties:fingerprint,Properties:scaffold,Properties:pharmacophore,Properties:confidence,Properties:source
COMPOUND_SIMILARITY_00317,StructuralSimilarity,COMPOUND_00262,COMPOUND_00154,0.629,0.397,0.564,ECFP4,same,0.709,0.968,SIMILARITY_CALC
COMPOUND_SIMILARITY_00318,StructuralSimilarity,COMPOUND_00098,COMPOUND_00287,0.556,0.509,0.432,ECFP4,same,0.516,0.936,SIMILARITY_CALC
COMPOUND_SIMILARITY_00319,StructuralSimilarity,COMPOUND_00054,COMPOUND_00037,0.353,0.533,0.862,RDKit,different,0.66,0.806,SIMILARITY_CALC
COMPOUND_SIMILARITY_00320,StructuralSimilarity,COMPOUND_00208,COMPOUND_00012,0.425,0.744,0.459,MACCS,different,0.49,0.94,SIMILARITY_CALC
COMPOUND_SIMILARITY_00321,StructuralSimilarity,COMPOUND_00166,COMPOUND_00009,0.527,0.691,0.474,RDKit,same,0.383,0.802,SIMILARITY_CALC
COMPOUND_SIMILARITY_00322,StructuralSimilarity,COMPOUND_00214,COMPOUND_00117,0.719,0.922,0.629,RDKit,similar,0.345,0.887,SIMILARITY_CALC
COMPOUND_SIMILARITY_00323,StructuralSimilarity,COMPOUND_00075,COMPOUND_00140,0.43,0.442,0.498,ECFP4,same,0.543,0.852,SIMILARITY_CALC
COMPOUND_SIMILARITY_00324,StructuralSimilarity,COMPOUND_00137,COMPOUND_00283,0.797,0.377,0.928,RDKit,same,0.786,0.898,SIMILARITY_CALC
COMPOUND_SIMILARITY_00325,StructuralSimilarity,COMPOUND_00129,COMPOUND_00272,0.566,0.43,0.604,MACCS,similar,0.794,0.954,SIMILARITY_CALC
COMPOUND_SIMILARITY_00326,StructuralSimilarity,COMPOUND_00263,COMPOUND_00183,0.45,0.546,0.372,ECFP4,same,0.854,0.894,SIMILARITY_CALC
COMPOUND_SIMILARITY_00327,StructuralSimilarity,COMPOUND_00147,COMPOUND_00254,0.829,0.324,0.371,ECFP4,similar,0.215,0.941,SIMILARITY_CALC
COMPOUND_SIMILARITY_00328,StructuralSimilarity,COMPOUND_00184,COMPOUND_00104,0.798,0.535,0.91,ECFP4,similar,0.709,0.88,SIMILARITY_CALC
COMPOUND_SIMILARITY_00329,StructuralSimilarity,COMPOUND_00102,COMPOUND_00245,0.412,0.699,0.34,MACCS,different,0.78,0.909,SIMILARITY_CALC
COMPOUND_SIMILARITY_00330,StructuralSimilarity,COMPOUND_00272,COMPOUND_00130,0.355,0.904,0.889,MACCS,similar,0.732,0.856,SIMILARITY_CALC
COMPOUND_SIMILARITY_00331,StructuralSimilarity,COMPOUND_00106,COMPOUND_00131,0.301,0.53,0.607,FCFP6,different,0.853,0.906,SIMILARITY_CALC
COMPOUND_SIMILARITY_00332,StructuralSimilarity,COMPOUND_00017,COMPOUND_00260,0.348,0.667,0.796,ECFP4,similar,0.239,0.956,SIMILARITY_CALC
COMPOUND_SIMILARITY_00333,StructuralSimilarity,COMPOUND_00218,COMPOUND_00090,0.697,0.738,0.948,MACCS,different,0.805,0.897,SIMILARITY_CALC
COMPOUND_SIMILARITY_00334,StructuralSimilarity,COMPOUND_00251,COMPOUND_00110,0.568,0.692,0.449,FCFP6,different,0.224,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00335,StructuralSimilarity,COMPOUND_00188,COMPOUND_00176,0.825,0.415,0.776,FCFP6,similar,0.726,0.926,SIMILARITY_CALC
COMPOUND_SIMILARITY_00336,StructuralSimilarity,COMPOUND_00186,COMPOUND_00228,0.899,0.746,0.537,MACCS,same,0.299,0.936,SIMILARITY_CALC
COMPOUND_SIMILARITY_00337,StructuralSimilarity,COMPOUND_00003,COMPOUND_00006,0.767,0.403,0.373,RDKit,different,0.792,0.792,SIMILARITY_CALC
COMPOUND_SIMILARITY_00338,StructuralSimilarity,COMPOUND_00197,COMPOUND_00078,0.502,0.889,0.851,MACCS,same,0.411,0.813,SIMILARITY_CALC
COMPOUND_SIMILARITY_00339,StructuralSimilarity,COMPOUND_00210,COMPOUND_00277,0.755,0.665,0.591,FCFP6,different,0.745,0.934,SIMILARITY_CALC
COMPOUND_SIMILARITY_00340,StructuralSimilarity,COMPOUND_00103,COMPOUND_00073,0.762,0.39,0.713,FCFP6,similar,0.46,0.826,SIMILARITY_CALC
COMPOUND_SIMILARITY_00341,StructuralSimilarity,COMPOUND_00159,COMPOUND_00290,0.524,0.331,0.599,ECFP4,same,0.318,0.866,SIMILARITY_CALC
COMPOUND_SIMILARITY_00342,StructuralSimilarity,COMPOUND_00050,COMPOUND_00176,0.769,0.62,0.894,FCFP6,same,0.341,0.912,SIMILARITY_CALC
COMPOUND_SIMILARITY_00343,StructuralSimilarity,COMPOUND_00093,COMPOUND_00020,0.329,0.906,0.791,ECFP4,similar,0.317,0.77,SIMILARITY_CALC
COMPOUND_SIMILARITY_00344,StructuralSimilarity,COMPOUND_00269,COMPOUND_00140,0.526,0.897,0.546,ECFP4,same,0.239,0.814,SIMILARITY_CALC
COMPOUND_SIMILARITY_00345,StructuralSimilarity,COMPOUND_00085,COMPOUND_00077,0.654,0.713,0.438,FCFP6,different,0.3,0.915,SIMILARITY_CALC
COMPOUND_SIMILARITY_00346,StructuralSimilarity,COMPOUND_00235,COMPOUND_00027,0.601,0.886,0.314,RDKit,similar,0.755,0.78,SIMILARITY_CALC
COMPOUND_SIMILARITY_00347,StructuralSimilarity,COMPOUND_00076,COMPOUND_00039,0.377,0.905,0.544,RDKit,similar,0.798,0.82,SIMILARITY_CALC
COMPOUND_SIMILARITY_00348,StructuralSimilarity,COMPOUND_00299,COMPOUND_00274,0.418,0.744,0.502,MACCS,similar,0.88,0.921,SIMILARITY_CALC
COMPOUND_SIMILARITY_00349,StructuralSimilarity,COMPOUND_00085,COMPOUND_00272,0.304,0.653,0.657,RDKit,similar,0.431,0.978,SIMILARITY_CALC
COMPOUND_SIMILARITY_00350,StructuralSimilarity,COMPOUND_00132,COMPOUND_00165,0.864,0.765,0.59,ECFP4,same,0.331,0.785,SIMILARITY_CALC
COMPOUND_SIMILARITY_00351,StructuralSimilarity,COMPOUND_00276,COMPOUND_00038,0.944,0.715,0.791,RDKit,same,0.672,0.905,SIMILARITY_CALC
COMPOUND_SIMILARITY_00352,StructuralSimilarity,COMPOUND_00209,COMPOUND_00066,0.571,0.939,0.903,FCFP6,similar,0.483,0.889,SIMILARITY_CALC
COMPOUND_SIMILARITY_00353,StructuralSimilarity,COMPOUND_00053,COMPOUND_00043,0.426,0.337,0.417,ECFP4,different,0.229,0.779,SIMILARITY_CALC
COMPOUND_SIMILARITY_00354,StructuralSimilarity,COMPOUND_00256,COMPOUND_00076,0.381,0.763,0.449,MACCS,same,0.791,0.814,SIMILARITY_CALC
COMPOUND_SIMILARITY_00355,StructuralSimilarity,COMPOUND_00191,COMPOUND_00049,0.544,0.791,0.358,ECFP4,similar,0.875,0.929,SIMILARITY_CALC
COMPOUND_SIMILARITY_00356,StructuralSimilarity,COMPOUND_00029,COMPOUND_00283,0.928,0.767,0.62,RDKit,different,0.366,0.9,SIMILARITY_CALC
COMPOUND_SIMILARITY_00357,StructuralSimilarity,COMPOUND_00026,COMPOUND_00143,0.757,0.892,0.675,FCFP6,similar,0.555,0.871,SIMILARITY_CALC
COMPOUND_SIMILARITY_00358,StructuralSimilarity,COMPOUND_00012,COMPOUND_00139,0.413,0.438,0.842,MACCS,same,0.661,0.929,SIMILARITY_CALC
COMPOUND_SIMILARITY_00359,StructuralSimilarity,COMPOUND_00280,COMPOUND_00099,0.949,0.496,0.728,RDKit,similar,0.457,0.809,SIMILARITY_CALC
COMPOUND_SIMILARITY_00360,StructuralSimilarity,COMPOUND_00295,COMPOUND_00027,0.87,0.555,0.355,RDKit,similar,0.619,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00361,StructuralSimilarity,COMPOUND_00083,COMPOUND_00212,0.672,0.819,0.882,RDKit,similar,0.69,0.752,SIMILARITY_CALC
COMPOUND_SIMILARITY_00362,StructuralSimilarity,COMPOUND_00231,COMPOUND_00054,0.898,0.303,0.705,RDKit,same,0.283,0.912,SIMILARITY_CALC
COMPOUND_SIMILARITY_00363,StructuralSimilarity,COMPOUND_00132,COMPOUND_00166,0.723,0.699,0.785,FCFP6,similar,0.225,0.822,SIMILARITY_CALC
COMPOUND_SIMILARITY_00364,StructuralSimilarity,COMPOUND_00276,COMPOUND_00166,0.883,0.587,0.742,MACCS,similar,0.858,0.895,SIMILARITY_CALC
COMPOUND_SIMILARITY_00365,StructuralSimilarity,COMPOUND_00114,COMPOUND_00014,0.382,0.333,0.44,ECFP4,different,0.601,0.837,SIMILARITY_CALC
COMPOUND_SIMILARITY_00366,StructuralSimilarity,COMPOUND_00064,COMPOUND_00252,0.777,0.639,0.344,RDKit,same,0.776,0.903,SIMILARITY_CALC
COMPOUND_SIMILARITY_00367,StructuralSimilarity,COMPOUND_00292,COMPOUND_00053,0.452,0.462,0.907,RDKit,similar,0.271,0.906,SIMILARITY_CALC
COMPOUND_SIMILARITY_00368,StructuralSimilarity,COMPOUND_00044,COMPOUND_00045,0.614,0.844,0.731,MACCS,similar,0.267,0.972,SIMILARITY_CALC
COMPOUND_SIMILARITY_00369,StructuralSimilarity,COMPOUND_00181,COMPOUND_00094,0.892,0.341,0.546,RDKit,same,0.406,0.808,SIMILARITY_CALC
COMPOUND_SIMILARITY_00370,StructuralSimilarity,COMPOUND_00023,COMPOUND_00144,0.607,0.623,0.802,ECFP4,same,0.786,0.901,SIMILARITY_CALC
COMPOUND_SIMILARITY_00371,StructuralSimilarity,COMPOUND_00094,COMPOUND_00212,0.921,0.544,0.631,ECFP4,same,0.346,0.933,SIMILARITY_CALC
COMPOUND_SIMILARITY_00372,StructuralSimilarity,COMPOUND_00270,COMPOUND_00020,0.756,0.38,0.569,MACCS,same,0.888,0.829,SIMILARITY_CALC
COMPOUND_SIMILARITY_00373,StructuralSimilarity,COMPOUND_00293,COMPOUND_00095,0.904,0.926,0.519,MACCS,similar,0.451,0.761,SIMILARITY_CALC
COMPOUND_SIMILARITY_00374,StructuralSimilarity,COMPOUND_00223,COMPOUND_00030,0.567,0.559,0.467,FCFP6,similar,0.286,0.765,SIMILARITY_CALC
COMPOUND_SIMILARITY_00375,StructuralSimilarity,COMPOUND_00167,COMPOUND_00043,0.364,0.692,0.595,FCFP6,same,0.827,0.769,SIMILARITY_CALC
COMPOUND_SIMILARITY_00376,StructuralSimilarity,COMPOUND_00202,COMPOUND_00245,0.604,0.631,0.861,RDKit,same,0.716,0.916,SIMILARITY_CALC
COMPOUND_SIMILARITY_00377,StructuralSimilarity,COMPOUND_00243,COMPOUND_00018,0.514,0.642,0.311,RDKit,different,0.845,0.766,SIMILARITY_CALC
COMPOUND_SIMILARITY_00378,StructuralSimilarity,COMPOUND_00109,COMPOUND_00251,0.902,0.842,0.744,ECFP4,different,0.568,0.813,SIMILARITY_CALC
COMPOUND_SIMILARITY_00379,StructuralSimilarity,COMPOUND_00037,COMPOUND_00063,0.614,0.443,0.611,RDKit,same,0.795,0.92,SIMILARITY_CALC
COMPOUND_SIMILARITY_00380,StructuralSimilarity,COMPOUND_00086,COMPOUND_00132,0.801,0.905,0.837,RDKit,different,0.493,0.877,SIMILARITY_CALC
COMPOUND_SIMILARITY_00381,StructuralSimilarity,COMPOUND_00192,COMPOUND_00177,0.356,0.64,0.754,MACCS,similar,0.333,0.86,SIMILARITY_CALC
COMPOUND_SIMILARITY_00382,StructuralSimilarity,COMPOUND_00089,COMPOUND_00229,0.912,0.834,0.324,RDKit,same,0.873,0.916,SIMILARITY_CALC
COMPOUND_SIMILARITY_00383,StructuralSimilarity,COMPOUND_00079,COMPOUND_00182,0.306,0.301,0.756,ECFP4,different,0.563,0.81,SIMILARITY_CALC
COMPOUND_SIMILARITY_00384,StructuralSimilarity,COMPOUND_00097,COMPOUND_00015,0.507,0.612,0.591,RDKit,same,0.38,0.808,SIMILARITY_CALC
COMPOUND_SIMILARITY_00385,StructuralSimilarity,COMPOUND_00139,COMPOUND_00194,0.323,0.806,0.478,ECFP4,similar,0.396,0.832,SIMILARITY_CALC
COMPOUND_SIMILARITY_00386,StructuralSimilarity,COMPOUND_00030,COMPOUND_00077,0.36,0.47,0.358,FCFP6,same,0.66,0.782,SIMILARITY_CALC
COMPOUND_SIMILARITY_00387,StructuralSimilarity,COMPOUND_00033,COMPOUND_00210,0.765,0.883,0.86,FCFP6,same,0.467,0.858,SIMILARITY_CALC
COMPOUND_SIMILARITY_00388,StructuralSimilarity,COMPOUND_00170,COMPOUND_00238,0.767,0.327,0.552,FCFP6,different,0.756,0.78,SIMILARITY_CALC
COMPOUND_SIMILARITY_00389,StructuralSimilarity,COMPOUND_00230,COMPOUND_00194,0.325,0.601,0.319,FCFP6,different,0.752,0.829,SIMILARITY_CALC
COMPOUND_SIMILARITY_00390,StructuralSimilarity,COMPOUND_00275,COMPOUND_00051,0.848,0.531,0.913,ECFP4,different,0.533,0.87,SIMILARITY_CALC
COMPOUND_SIMILARITY_00391,StructuralSimilarity,COMPOUND_00258,COMPOUND_00197,0.906,0.632,0.822,FCFP6,different,0.811,0.976,SIMILARITY_CALC
COMPOUND_SIMILARITY_00392,StructuralSimilarity,COMPOUND_00120,COMPOUND_00279,0.441,0.738,0.893,FCFP6,different,0.638,0.887,SIMILARITY_CALC
COMPOUND_SIMILARITY_00393,StructuralSimilarity,COMPOUND_00300,COMPOUND_00176,0.324,0.44,0.89,MACCS,same,0.413,0.866,SIMILARITY_CALC
COMPOUND_SIMILARITY_00394,StructuralSimilarity,COMPOUND_00082,COMPOUND_00037,0.801,0.878,0.646,FCFP6,similar,0.708,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00395,StructuralSimilarity,COMPOUND_00067,COMPOUND_00047,0.44,0.782,0.843,MACCS,same,0.335,0.897,SIMILARITY_CALC
COMPOUND_SIMILARITY_00396,StructuralSimilarity,COMPOUND_00053,COMPOUND_00185,0.358,0.642,0.891,FCFP6,same,0.352,0.752,SIMILARITY_CALC
COMPOUND_SIMILARITY_00397,StructuralSimilarity,COMPOUND_00260,COMPOUND_00273,0.347,0.566,0.559,ECFP4,different,0.77,0.768,SIMILARITY_CALC
COMPOUND_SIMILARITY_00398,StructuralSimilarity,COMPOUND_00077,COMPOUND_00270,0.444,0.95,0.344,RDKit,different,0.214,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00399,StructuralSimilarity,COMPOUND_00039,COMPOUND_00270,0.321,0.728,0.353,MACCS,same,0.54,0.883,SIMILARITY_CALC
COMPOUND_SIMILARITY_00400,StructuralSimilarity,COMPOUND_00179,COMPOUND_00015,0.519,0.462,0.907,MACCS,similar,0.738,0.858,SIMILARITY_CALC
